id	lemma
salt:/life.cyrus/life.cyrus.02#sSpan4792	·
salt:/life.cyrus/life.cyrus.02#sSpan4796	ⲉⲣⲉ
salt:/life.cyrus/life.cyrus.02#sSpan4800	ⲛⲧⲟⲟⲩ
salt:/life.cyrus/life.cyrus.02#sSpan4802	ϩⲏⲩ
salt:/life.cyrus/life.cyrus.02#sSpan4804	ⲙⲛ
salt:/life.onnophrius/life.onnophrius.04#sSpan4607	·
salt:/life.onnophrius/life.onnophrius.04#sSpan4611	ⲁ
salt:/life.onnophrius/life.onnophrius.04#sSpan4617	ⲛⲧⲟⲟⲩ
salt:/life.onnophrius/life.onnophrius.04#sSpan4619	ϭⲉⲡⲏ
salt:/life.onnophrius/life.onnophrius.04#sSpan4623	ⲇⲉ
salt:/life.onnophrius/life.onnophrius.04#sSpan4734	·
salt:/life.onnophrius/life.onnophrius.04#sSpan4738	ⲁ
salt:/life.onnophrius/life.onnophrius.04#sSpan4744	ⲛⲧⲟⲟⲩ
salt:/life.onnophrius/life.onnophrius.04#sSpan4746	ⲕⲱ
salt:/life.onnophrius/life.onnophrius.04#sSpan4748	ⲛⲧⲟϥ
