1_id	1_span	1_anno_scriptorium::func	1_anno_scriptorium::lemma	1_anno_scriptorium::norm	1_anno_scriptorium::pos	2_id	2_span	2_anno_scriptorium::func	2_anno_scriptorium::lemma	2_anno_scriptorium::norm	2_anno_scriptorium::pos
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan43		root	ⲉⲣⲉ	ⲉⲣⲉ	CCIRC	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan49		nsubj	ⲁⲡⲁ	ⲁⲡⲁ	N	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan52		flat	ⲁⲣⲥⲉⲛⲓⲟⲥ	ⲁⲣⲥⲉⲛⲓⲟⲥ	NPROP	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan56	ϩⲛ̇	case	ϩⲛ	ϩⲛ	PREP	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60	ϣⲓ̇ⲏⲧ	nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60	ϣⲓ̇ⲏⲧ	nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan64	.	punct	.	.	PUNCT
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan68		mark	ⲉⲣⲉ	ⲉ	CCIRC
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan73		aux	ⲛⲉⲣⲉ	ⲛⲉ	CPRET
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan75		nsubj	ⲛⲧⲟϥ	ϥ	PPERS
salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan60		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.056.daniel.06#sSpan77		root	ⲙⲙⲁⲩ	ⲙⲙⲁⲩ	ADV
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1462		root	ⲉⲓ	ⲉⲓ	V	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1465		case	ⲉ	ⲉ	PREP	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1469		det	ⲡⲉⲓ	ⲡⲉⲓ	PDEM	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1471		obl	ⲙⲁ	ⲙⲁ	N	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1473	ⲉ	case	ⲉ	ⲉ	PREP	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478	ϣⲓⲏ[ⲧ]	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478	ϣⲓⲏ[ⲧ]	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1481	·	punct	.	.	PUNCT
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1485		root	ⲡⲁⲓ	ⲧⲁⲓ	PDEM
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1493		advmod	ⲇⲉ	ⲇⲉ	PTC
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1497		cop	ⲡⲉ	ⲧⲉ	COP
salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1478		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.101.macarius.01#sSpan1501		det	ⲡ	ⲧ	ART
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan12		nsubj	ⲛⲧⲟϥ	ϥ	PPERS	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan14		root	ⲃⲱⲕ	ⲃⲱⲕ	V	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan17		case	ⲛ	ⲛ	PREP	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan22		obl	ⲟⲩⲟⲉⲓϣ	ⲟⲩⲟⲉⲓϣ	N	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan24	ⲉ	case	ⲉ	ⲉ	PREP	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan31	ⲛ̄ϭⲓ	case	ⲛϭⲓ	ⲛϭⲓ	PTC
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan35		det	ⲡ	ⲡ	ART
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan39		dislocated	ⲙⲁⲕⲁⲣⲓⲟⲥ	ⲙⲁⲕⲁⲣⲓⲟⲥ	N
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan43		appos	ⲁⲡⲁ	ⲁⲡⲁ	N
salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan29		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/AP.114.theophilus.02#sSpan48	ⲑⲉⲱ ⲫⲓⲗⲟⲥ	flat	ⲑⲉⲱⲫⲓⲗⲟⲥ	ⲑⲉⲱⲫⲓⲗⲟⲥ	NPROP
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan22		parataxis	ϣⲱⲡⲉ	ϣⲱⲡⲉ	V	salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan37		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan26		case	ⲛ	ⲛ	PREP	salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan37		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan30	ⲟⲩⲟ̇ ⲉⲓ̇ϣ	obl	ⲟⲩⲟⲉⲓϣ	ⲟⲩⲟⲉⲓϣ	N	salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan37		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan33	ϩⲛ	case	ϩⲛ	ϩⲛ	PREP	salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan37	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan37	ϣⲓ̇ⲏⲧ	obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan39	ⲁⲩⲱ	cc	ⲁⲩⲱ	ⲁⲩⲱ	CONJ
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan37		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan43		aux	ⲁ	ⲁ	APST
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan37		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan48		nsubj	ⲛⲧⲟⲟⲩ	ⲩ	PPERS
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan37		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan50		conj	ϯ	ϯ	V
salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan37		obl	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/apophthegmata.patrum/ap.016.n144.festival#sSpan52		case	ⲛ	ⲛ	PREP
salt:/life.cyrus/life.cyrus.01#sSpan133		case	ⲛ	ⲛ	PREP	salt:/life.cyrus/life.cyrus.01#sSpan147		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/life.cyrus/life.cyrus.01#sSpan137		det	ⲡ	ⲧ	ART	salt:/life.cyrus/life.cyrus.01#sSpan147		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/life.cyrus/life.cyrus.01#sSpan140	ⲈⲔ ⲔⲖⲎⲤⲒⲀ	nmod	ⲉⲕⲕⲗⲏⲥⲓⲁ	ⲉⲕⲕⲗⲏⲥⲓⲁ	N	salt:/life.cyrus/life.cyrus.01#sSpan147		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/life.cyrus/life.cyrus.01#sSpan143	Ⲛ	case	ⲛ	ⲛ	PREP	salt:/life.cyrus/life.cyrus.01#sSpan147	ϢⲒⲎⲦ	nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/life.cyrus/life.cyrus.01#sSpan147	ϢⲒⲎⲦ	nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan149	ⲚⲦ	mark	ⲉⲧⲉⲣⲉ	ⲛⲧ	CREL
salt:/life.cyrus/life.cyrus.01#sSpan147		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan156		aux	ⲁ	ⲁ	APST
salt:/life.cyrus/life.cyrus.01#sSpan147		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan158		nsubj	ⲛⲧⲟϥ	ϥ	PPERS
salt:/life.cyrus/life.cyrus.01#sSpan147		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan160		acl	ⲙⲧⲟⲛ	ⲙⲧⲟⲛ	V
salt:/life.cyrus/life.cyrus.01#sSpan147		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan162		case	ⲛ	ⲙⲙⲟ	PREP
salt:/life.cyrus/life.cyrus.01#sSpan333	ⲡⲣⲉⲥ ⲃⲩⲧⲉⲣⲟⲥ	appos	ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ	ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ	N	salt:/life.cyrus/life.cyrus.01#sSpan349		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/life.cyrus/life.cyrus.01#sSpan336		case	ⲛ	ⲛ	PREP	salt:/life.cyrus/life.cyrus.01#sSpan349		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/life.cyrus/life.cyrus.01#sSpan340		det	ⲡ	ⲧ	ART	salt:/life.cyrus/life.cyrus.01#sSpan349		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/life.cyrus/life.cyrus.01#sSpan343		nmod	ⲉⲕⲕⲗⲏⲥⲓⲁ	ⲉⲕⲕⲗⲏⲥⲓⲁ	N	salt:/life.cyrus/life.cyrus.01#sSpan349		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/life.cyrus/life.cyrus.01#sSpan345	ⲛ̅	case	ⲛ	ⲛ	PREP	salt:/life.cyrus/life.cyrus.01#sSpan349	ϣⲓⲏⲧ	nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP
salt:/life.cyrus/life.cyrus.01#sSpan349	ϣⲓⲏⲧ	nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan351	·	punct	·	·	PUNCT
salt:/life.cyrus/life.cyrus.01#sSpan349		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan355		mark	ⲙⲛⲛⲥⲁ	ⲙⲛⲛⲥⲁ	PREP
salt:/life.cyrus/life.cyrus.01#sSpan349		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan359		advcl	ⲧⲣⲉ	ⲧⲣⲉ	ACAUS
salt:/life.cyrus/life.cyrus.01#sSpan349		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan361		nsubj	ⲛⲧⲟϥ	ϥ	PPERS
salt:/life.cyrus/life.cyrus.01#sSpan349		nmod	ϣⲓⲏⲧ	ϣⲓⲏⲧ	NPROP	salt:/life.cyrus/life.cyrus.01#sSpan364	ⲥⲕⲉ ⲡⲁⲍⲉ	xcomp	ⲥⲕⲉⲡⲁⲍⲉ	ⲥⲕⲉⲡⲁⲍⲉ	V
