1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	1_meta_version_date	1_meta_version_n	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
61128489	ⲕⲏⲙⲉ	nmod	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61128512	ⲉⲓⲟⲟⲧⲉ	nsubj	ⲉⲓⲱⲧ	ⲉⲓⲟⲧⲉ	N
61132059	ⲛ	aux	ⲛⲧⲉ	ⲛ	ACONJ	life.onnophrius.04	2019-09-30	3.0.0	61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61132064	ⲅ̅	nsubj	ⲛⲧⲟⲕ	ⲅ	PPERS	life.onnophrius.04	2019-09-30	3.0.0	61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61132068	ⲧⲱⲟⲩⲛ	advcl	ⲧⲱⲟⲩⲛ	ⲧⲱⲟⲩⲛ	V	life.onnophrius.04	2019-09-30	3.0.0	61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61132071	·	punct	·	·	PUNCT	life.onnophrius.04	2019-09-30	3.0.0	61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61132076	ⲉ	case	ⲉ	ⲉ	PREP	life.onnophrius.04	2019-09-30	3.0.0	61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61132085	·	punct	·	·	PUNCT
61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61132090	ⲛ	aux	ⲛⲧⲉ	ⲛ	ACONJ
61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61132095	ⲅ̅	nsubj	ⲛⲧⲟⲕ	ⲅ	PPERS
61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61132098	ϫⲱ	advcl	ϫⲱ	ϫⲱ	V
61132082	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61132101	ⲛ̅	case	ⲛ	ⲛ	PREP
61133330	ⲓ	nsubj	ⲁⲛⲟⲕ	ⲓ	PPERS	life.onnophrius.04	2019-09-30	3.0.0	61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61133333	ⲉⲓ	root	ⲉⲓ	ⲉⲓ	V	life.onnophrius.04	2019-09-30	3.0.0	61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61133337	ⲇⲉ	advmod	ⲇⲉ	ⲇⲉ	PTC	life.onnophrius.04	2019-09-30	3.0.0	61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61133342	ⲉⲃⲟⲗ	advmod	ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	ADV	life.onnophrius.04	2019-09-30	3.0.0	61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61133347	ⲉ	case	ⲉ	ⲉ	PREP	life.onnophrius.04	2019-09-30	3.0.0	61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61133356	ⲛ̅	case	ⲛ	ⲛ	PREP
61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61133361	ⲟⲩ	det	ⲟⲩ	ⲟⲩ	ART
61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61133364	ϩⲓⲏ	nmod	ϩⲓⲏ	ϩⲓⲏ	N
61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61133367	·	punct	·	·	PUNCT
61133353	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.onnophrius.04	2019-09-30	3.0.0	61133372	ⲛ̅	case	ⲛ	ⲛ	PREP
61184609	ⲉ	mark	ⲉⲣⲉ	ⲉ	CCIRC	proclus.23.nativity	2019-09-30	3.0.0	61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61184614	ϥ	nsubj	ⲛⲧⲟϥ	ϥ	PPERS	proclus.23.nativity	2019-09-30	3.0.0	61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61184617	ⲡⲏⲧ̅	advcl	ⲡⲱⲧ	ⲡⲏⲧ	VSTAT	proclus.23.nativity	2019-09-30	3.0.0	61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61184620	ⲉⲃⲟⲗ	case	ⲉⲃⲟⲗ	ⲉⲃⲟⲗ	ADV	proclus.23.nativity	2019-09-30	3.0.0	61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61184626	ϩⲛ̅	fixed	ϩⲛ	ϩⲛ	PREP	proclus.23.nativity	2019-09-30	3.0.0	61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	proclus.23.nativity	2019-09-30	3.0.0	61184634	ⲁ	aux	ⲁ	ⲁ	APST
61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	proclus.23.nativity	2019-09-30	3.0.0	61184639	ϥ	nsubj	ⲛⲧⲟϥ	ϥ	PPERS
61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	proclus.23.nativity	2019-09-30	3.0.0	61184642	ⲁⲁ	parataxis	ⲉⲓⲣⲉ	ⲁⲁ	V
61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	proclus.23.nativity	2019-09-30	3.0.0	61184645	ϥ	obj	ⲛⲧⲟϥ	ϥ	PPERO
61184631	ⲕⲏⲙⲉ	obl	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	proclus.23.nativity	2019-09-30	3.0.0	61184648	ⲛ̅	case	ⲛ	ⲛ	PREP
61557078	ϩⲧⲛⲟϭ	obj	ϩⲧⲛⲟϭ	ϩⲧⲛⲟϭ	N	life.longinus.lucius.03	2019-09-30	3.0.0	61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61557081	ⲙ	case	ⲛ	ⲙ	PREP	life.longinus.lucius.03	2019-09-30	3.0.0	61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61557087	ⲡⲟⲗⲓⲥ	nmod	ⲡⲟⲗⲓⲥ	ⲡⲟⲗⲓⲥ	N	life.longinus.lucius.03	2019-09-30	3.0.0	61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61557091	ⲣⲁⲕⲟⲧⲉ	appos	ⲣⲁⲕⲟⲧⲉ	ⲣⲁⲕⲟⲧⲉ	NPROP	life.longinus.lucius.03	2019-09-30	3.0.0	61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61557096	ⲙⲛ	cc	ⲙⲛ	ⲙⲛ	PREP	life.longinus.lucius.03	2019-09-30	3.0.0	61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP
61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.longinus.lucius.03	2019-09-30	3.0.0	61557104	ⲧⲏⲣ	advmod	ⲧⲏⲣ	ⲧⲏⲣ	IMOD
61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.longinus.lucius.03	2019-09-30	3.0.0	61557109	ϥ	det	ⲛⲧⲟϥ	ϥ	PPERO
61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.longinus.lucius.03	2019-09-30	3.0.0	61557112	·	punct	·	·	PUNCT
61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.longinus.lucius.03	2019-09-30	3.0.0	61557117	22.ⲟⲩ	det	22.ⲟⲩ	22.ⲟⲩ	ART
61557101	ⲕⲏⲙⲉ	conj	ⲕⲏⲙⲉ	ⲕⲏⲙⲉ	NPROP	life.longinus.lucius.03	2019-09-30	3.0.0	61557125	ⲥϩⲓⲙⲉ	dislocated	ⲥϩⲓⲙⲉ	ⲥϩⲓⲙⲉ	N
