Term	inDocumentsCount	RawFrequency	RelativeFrequency	RelativePeakedness	RelativeSkewness	Distributions
ϭⲱ	1	8	3.713331E-4	NaN	NaN	7.426662E-4
ⲉⲓⲛⲉ	1	8	3.713331E-4	NaN	NaN	7.426662E-4
ⲉⲛⲉ	1	8	3.713331E-4	NaN	NaN	7.426662E-4
ⲉⲟⲟⲩ	1	8	3.713331E-4	NaN	NaN	7.426662E-4
ⲙⲁⲣⲉ	1	8	3.713331E-4	NaN	NaN	7.426662E-4
ⲙⲛⲛⲥⲁ	1	8	3.713331E-4	NaN	NaN	7.426662E-4
ⲟⲩⲟⲡ	1	8	3.713331E-4	NaN	NaN	7.426662E-4
ϣⲗⲏⲗ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ϥⲓ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲉⲛⲉϩ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲏ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲕⲁϩ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲙⲡⲣ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲙⲧⲟ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲛⲁϣⲉ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲛⲧⲟ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲟⲩϫⲁⲓ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲣⲉ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲥⲱⲟⲩϩ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
ⲧⲉⲛⲟⲩ	1	7	3.2491644E-4	NaN	NaN	6.498329E-4
unknown	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ϣⲟⲣⲡ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ϩⲁϩ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ϩⲁⲣⲉϩ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ϩⲟⲩⲟ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ϩⲣⲁⲓ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲁⲗⲗⲁ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲉϩⲟⲩⲉ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲉⲓⲥ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲕⲱⲧⲉ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲙⲁⲁⲩ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲛⲣⲉϥϯϭⲱⲛⲧ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲟⲩⲇⲉ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲟⲩⲟⲛ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲣⲙⲛ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲥⲓⲙⲱⲛ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲫⲩⲗⲏ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ⲱϩⲉ	1	6	2.7849982E-4	NaN	NaN	5.5699964E-4
ϣⲱⲗ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ϩⲁⲓ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ϩⲁⲧⲛ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ϩⲏⲏⲧⲉ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ϩⲟⲩⲛ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ϫⲓⲛϭⲟⲛⲥ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ϫⲛⲟⲩ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ϭⲓϫ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲃⲟⲗ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲃⲣⲣⲉ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲉⲓⲣⲏⲛⲏ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲉⲣϣⲁⲛ_ⲛⲧⲟⲕ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲓⲏⲥⲟⲩⲥ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲓⲱⲥⲏⲫ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲙⲙⲓⲭⲁ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲙⲡⲣⲧⲣⲉ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲛⲁⲃⲓⲇⲇⲁⲣⲁ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲛⲓⲱⲛⲁⲑⲁⲛ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲟⲩⲉ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲟⲩⲱⲧ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲡⲱϣ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲣⲁⲛ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲥⲙⲓⲛⲉ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲥⲛⲧⲉ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲧⲁⲉⲓⲟ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲧⲱⲟⲩⲛ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ⲫⲁⲣⲁⲱ	1	5	2.3208318E-4	NaN	NaN	4.6416637E-4
ϣⲙϣⲉ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ϣⲡⲏⲣⲉ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ϩⲁⲧ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ϩⲓⲧⲛ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲁⲁⲣⲱⲛ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲁⲩⲗⲏ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲃⲱⲗ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲇⲁⲇ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲇⲓⲕⲁⲓⲟⲥ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲉⲣϣⲁⲛ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲉⲣϣⲁⲛ_ⲛⲧⲟϥ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲉⲣⲉ_ⲛⲧⲟⲟⲩ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲕⲱϩⲧ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲙⲉ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲙⲏ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
ⲛⲕⲁ	1	4	1.8566655E-4	NaN	NaN	3.713331E-4
