1_id	1_span	1_anno_scriptorium:func	1_anno_scriptorium:lang	1_anno_scriptorium:lemma	1_anno_scriptorium:norm	1_anno_scriptorium:pos	1_meta_annis:doc	2_id	2_span	2_anno_scriptorium:func	2_anno_scriptorium:lang	2_anno_scriptorium:lemma	2_anno_scriptorium:norm	2_anno_scriptorium:pos
52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52032420	ⲉ	mark	'NULL'	ⲉⲣⲉ	ⲉ	CCIRC
52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52032425	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS
52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52032427	ⲥⲏϭ	advcl	'NULL'	ⲥⲱϭ	ⲥⲏϭ	VSTAT
52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52032431	.	punct	'NULL'	.	.	PUNCT
52032417	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52032436	ⲁⲩⲱ	cc	'NULL'	ⲁⲩⲱ	ⲁⲩⲱ	CONJ
52033523	ⲛϭⲓ	case	'NULL'	ⲛϭⲓ	ⲛϭⲓ	PTC	40_Matthew_08	52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52033528	ⲓⲏⲥⲟⲩⲥ	dislocated	Hebrew	ⲓⲏⲥⲟⲩⲥ	ⲓⲏⲥⲟⲩⲥ	NPROP	40_Matthew_08	52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52033533	ⲉϩⲣⲁⲓ	advmod	'NULL'	ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	ADV	40_Matthew_08	52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52033538	ⲉ	case	'NULL'	ⲉ	ⲉ	PREP	40_Matthew_08	52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52033542	ⲡ	det	'NULL'	ⲡ	ⲡ	ART	40_Matthew_08	52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52033549	ⲙ	case	'NULL'	ⲛ	ⲙ	PREP
52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52033553	ⲡⲉⲧⲣⲟⲥ	nmod	Greek	ⲡⲉⲧⲣⲟⲥ	ⲡⲉⲧⲣⲟⲥ	NPROP
52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52033557	.	punct	'NULL'	.	.	PUNCT
52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52033562	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST
52033545	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_08	52033566	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS
52037030	ⲅ	nsubj	'NULL'	ⲛⲧⲟⲕ	ⲅ	PPERS	40_Matthew_09	52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52037033	ⲃⲱⲕ	advcl	'NULL'	ⲃⲱⲕ	ⲃⲱⲕ	V	40_Matthew_09	52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52037037	ⲉϩⲣⲁⲓ	advmod	'NULL'	ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	ADV	40_Matthew_09	52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52037042	ⲉ	case	'NULL'	ⲉ	ⲉ	PREP	40_Matthew_09	52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52037046	ⲡⲉⲕ	det	'NULL'	ⲡⲉⲕ	ⲡⲉⲕ	PPOS	40_Matthew_09	52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037052	.	punct	'NULL'	.	.	PUNCT
52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037058	ⲁ	aux	'NULL'	ⲁ	ⲁ	APST
52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037063	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS
52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037065	ⲧⲱⲟⲩⲛ	advcl	'NULL'	ⲧⲱⲟⲩⲛ	ⲧⲱⲟⲩⲛ	V
52037049	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N	40_Matthew_09	52037068	ⲇⲉ	advmod	Greek	ⲇⲉ	ⲇⲉ	PTC
52037079	ϥ	nsubj	'NULL'	ⲛⲧⲟϥ	ϥ	PPERS	40_Matthew_09	52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52037082	ⲃⲱⲕ	root	'NULL'	ⲃⲱⲕ	ⲃⲱⲕ	V	40_Matthew_09	52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
52037086	ⲉϩⲣⲁⲓ	advmod	'NULL'	ⲉϩⲣⲁⲓ	ⲉϩⲣⲁⲓ	ADV	40_Matthew_09	52037097	ⲏⲓ	obl	'NULL'	ⲏⲓ	ⲏⲓ	N
